0.0, 4, White, Entry
0.9649835236161501, 2, White, Entry
0.9979695769397197, 2, White, Exit
0.9979695769397197, 4, White, Entry
0.9979695769397197, 4, White, Exit
0.9979695769397197, 2, White, Entry
1.0309889158872283, 2, White, Exit
1.0309889158872283, 4, White, Entry
1.0309889158872283, 4, White, Exit
1.0309889158872283, 2, White, Entry
1.0649735379289684, 2, White, Exit
1.0649735379289684, 4, White, Entry
1.0649735379289684, 4, White, Exit
1.0649735379289684, 2, White, Entry
1.0979928768764768, 2, White, Exit
1.0979928768764768, 4, White, Entry
1.0979928768764768, 4, White, Exit
1.0979928768764768, 2, White, Entry
1.1309789302000466, 2, White, Exit
1.1309789302000466, 4, White, Entry
1.1309789302000466, 4, White, Exit
1.1309789302000466, 2, White, Entry
1.163998269147555, 2, White, Exit
1.163998269147555, 4, White, Entry
1.163998269147555, 4, White, Exit
1.163998269147555, 2, White, Entry
1.1979828911892951, 2, White, Exit
1.1979828911892951, 4, White, Entry
1.1979828911892951, 4, White, Exit
1.1979828911892951, 2, White, Entry
1.2309689445128649, 2, White, Exit
1.2309689445128649, 4, White, Entry
1.2309689445128649, 4, White, Exit
1.2309689445128649, 2, White, Entry
1.2639882834603733, 2, White, Exit
1.2639882834603733, 4, White, Entry
1.2639882834603733, 4, White, Exit
1.2639882834603733, 2, White, Entry
1.2979729055021134, 2, White, Exit
1.2979729055021134, 4, White, Entry
1.2979729055021134, 4, White, Exit
1.2979729055021134, 2, White, Entry
1.330992244449622, 2, White, Exit
1.330992244449622, 4, White, Entry
1.330992244449622, 4, White, Exit
1.330992244449622, 2, White, Entry
1.3639782977731916, 2, White, Exit
1.3639782977731916, 4, White, Entry
1.3639782977731916, 4, White, Exit
1.3639782977731916, 2, White, Entry
1.3969976367207002, 2, White, Exit
1.3969976367207002, 4, White, Entry
1.3969976367207002, 4, White, Exit
1.3969976367207002, 2, White, Entry
1.4309822587624403, 2, White, Exit
1.4309822587624403, 4, White, Entry
1.4309822587624403, 4, White, Exit
1.4309822587624403, 2, White, Entry
1.46396831208601, 2, White, Exit
